,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
0,0,134622.31,5118629.623,-0.08,510,2,567.15405,0.00095174846,0.0107603455,0.9999994,0.0014246232,0.9985748,6.06623e-07,6.07488e-07,2.7507058e-05,-2.583e-09,-2.687e-09,5097.119,7.26457,0.07000001,-0.07000001,0.0,4
1,1,134625.06,5118631.551,-0.08,510,2,567.15405,0.00095174846,0.0107603455,0.9999994,0.0014246232,0.9985748,6.06623e-07,6.07488e-07,2.7507058e-05,-2.583e-09,-2.687e-09,5097.119,7.26457,0.07,-0.010000005,0.06,4
2,2,134632.23,5118636.915,-0.09,510,2,567.15405,0.00095174846,0.0107603455,0.9999994,0.0014246232,0.9985748,6.06623e-07,6.07488e-07,2.7507058e-05,-2.583e-09,-2.687e-09,5097.119,7.26457,0.07,-0.010000005,0.06,4
3,3,134639.48,5118644.39,-0.05,510,2,567.15405,0.00095174846,0.0107603455,0.9999994,0.0014246232,0.9985748,6.06623e-07,6.07488e-07,2.7507058e-05,-2.583e-09,-2.687e-09,5097.119,7.26457,0.07000001,0.0,0.07000001,4
4,4,134643.8,5118649.832,-0.08,510,2,567.15405,0.00095174846,0.0107603455,0.9999994,0.0014246232,0.9985748,6.06623e-07,6.07488e-07,2.7507058e-05,-2.583e-09,-2.687e-09,5097.119,7.26457,0.07,-0.040000003,0.030000001,4
5,5,134654.5,5118659.878,-0.07,510,2,567.15405,0.00095174846,0.0107603455,0.9999994,0.0014246232,0.9985748,6.06623e-07,6.07488e-07,2.7507058e-05,-2.583e-09,-2.687e-09,5097.119,7.26457,0.07,-0.010000005,0.06,4
6,6,134656.23,5118661.384,-0.07,510,2,686.9048,0.0006551237,0.012724381,0.9999998,0.0017314152,0.9982684,1.62941e-07,1.63223e-07,2.267394e-06,2.374e-09,2.873e-09,6171.456,10.686359,0.040000003,-0.020000003,0.02,4
7,7,134659.08,5118663.309,-0.08,510,2,686.9048,0.0006551237,0.012724381,0.9999998,0.0017314152,0.9982684,1.62941e-07,1.63223e-07,2.267394e-06,2.374e-09,2.873e-09,6171.456,10.686359,0.040000003,-0.020000003,0.02,4
8,8,134664.97,5118666.59,-0.06,510,2,722.53925,0.0007372596,0.016251264,0.9999998,0.002301632,0.9976982,1.749e-07,1.75302e-07,8.7426e-08,2.583e-09,2.687e-09,6487.918,14.933936,0.050000004,-0.010000005,0.04,4
9,9,134679.02,5118677.44,-0.06,510,2,694.2772,0.00076741807,0.018630657,0.9999998,0.0027007405,0.9972991,1.6824e-07,1.68694e-07,1.776353e-06,-1.297e-09,-1.339e-09,6231.6626,16.831154,0.04,-0.02,0.02,4
10,10,134686.84,5118686.674,-0.05,510,2,602.16534,0.00074903935,0.034711737,0.99999994,0.005649079,0.99435085,7.5236e-08,7.5661e-08,1.87482e-07,-1.228e-09,-1.405e-09,5389.0444,30.443544,0.04,-0.02,0.02,4
11,11,134691.3,5118693.893,-0.04,510,2,630.79456,0.00074622483,0.036855005,0.99999994,0.0060709994,0.9939289,6.9279e-08,6.97e-08,3.16429e-07,4e-11,-4.2e-11,5642.8926,34.258392,0.04,-0.029999997,0.010000002,4
12,12,134692.58,5118695.746,-0.06,510,2,585.9595,0.00077914644,0.017341694,0.9999998,0.0024831037,0.9975167,1.91418e-07,1.91894e-07,6.04467e-07,-2.943e-09,-2.287e-09,5260.571,13.063552,0.030000001,-0.030000001,0.0,4
13,13,134694.38,5118699.032,-0.05,510,2,585.9595,0.00077914644,0.017341694,0.9999998,0.0024831037,0.9975167,1.91418e-07,1.91894e-07,6.04467e-07,-2.943e-09,-2.287e-09,5260.571,13.063552,0.030000001,-0.010000002,0.02,4
14,14,134699.11,5118705.68,-0.04,510,2,585.9595,0.00077914644,0.017341694,0.9999998,0.0024831037,0.9975167,1.91418e-07,1.91894e-07,6.04467e-07,-2.943e-09,-2.287e-09,5260.571,13.063552,0.030000001,-0.02,0.010000002,4
15,15,134705.19,5118713.078,-0.04,510,2,553.16943,0.00065441005,0.012219752,0.9999998,0.0016520516,0.99834776,1.70183e-07,1.70464e-07,9.018664e-06,1.521e-09,1.081e-09,4970.312,8.212059,0.030000001,-0.030000001,0.0,4
16,16,134714.1,5118722.281,-0.04,510,2,560.4918,0.0007098274,0.013845896,0.9999998,0.0019097431,0.9980901,1.87974e-07,1.88333e-07,5.45534e-07,2.806e-09,2.451e-09,5034.8096,9.61614,0.030000001,-0.030000001,0.0,4
17,17,134715.62,5118724.135,-0.07,510,2,612.8155,0.00085607474,0.024838643,0.9999998,0.0037902119,0.9962096,1.66778e-07,1.6741e-07,4.053864e-06,0.0,-0.0,5494.512,20.826286,0.030000001,-0.030000001,0.0,4
18,18,134726.98,5118735.718,-0.05,510,2,568.6476,0.001070526,0.032847133,0.99999976,0.005286553,0.9947132,2.3452e-07,2.3576e-07,6.27679e-07,-2.488e-09,-2.775e-09,5090.9126,26.914577,0.04,0.0,0.04,4
19,19,134729.75,5118737.876,-0.04,510,2,408.91937,0.0016144895,0.045772728,0.99999946,0.007889411,0.99211,5.41823e-07,5.46099e-07,8.283686e-06,1.225e-09,1.408e-09,3651.4624,28.809883,0.049999997,-0.029999997,0.020000001,4
