,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
110,72148,136955.17,5126110.696,5.984,194,2,10.419785,0.05051709,0.66887045,0.9991154,0.61476195,0.3843535,0.000547207,0.0008845771,0.0015333444,1.064e-09,1.531e-09,58.011913,35.714832,0.467,-0.26500034,0.20199966,1
1147,94242,137574.92,5126203.756,7.81,633,3,11.175523,0.06576228,0.69046056,0.9979662,0.74076515,0.25720102,0.0011656467,0.0020338586,0.0025770841,-1.86e-09,9.9e-11,57.64432,42.818142,0.58200026,-0.5800004,0.001999855,1
1148,94403,137573.8,5126205.801,7.83,633,3,9.917444,0.0643808,0.67991763,0.9981445,0.65773547,0.34040907,0.0011167788,0.0018554683,0.0028257624,-7.93e-10,-1.688e-09,53.722466,35.43485,0.5970001,-0.57299995,0.024000168,1
767,709739,138046.31,5126524.254,9.89,431,7,16.893618,0.02785054,0.55755115,0.9998452,0.32382795,0.6760172,0.00011690825,0.0001548026,5.9949674e-05,-4.9e-11,3.1e-11,114.82384,37.200943,0.17700005,-0.09000015,0.08699989,4
768,709810,138043.92,5126524.745,9.83,431,7,15.900874,0.031384658,0.6087249,0.9997892,0.42006058,0.5797286,0.00014842051,0.0002108287,0.0008657586,1.059e-09,3.57e-09,100.74597,42.340652,0.3180008,-0.24600029,0.0720005,4
769,709868,138045.6,5126526.284,9.7,431,7,13.567337,0.043677278,0.68201435,0.99941176,0.7134721,0.28593963,0.0003430694,0.0005882435,0.0011538134,-2.208e-09,-2.996e-09,71.21344,50.850697,0.42700005,-0.20199966,0.22500038,1
600,2278516,136676.0,5127229.0,13.57,339,0,1.7342876,0.034308564,0.6679208,0.99972254,0.62531316,0.37440938,0.00017064279,0.00027744265,0.0004887404,-1.863e-09,1e-12,9.600157,6.0057683,0.10299969,-0.07199955,0.031000137,0
601,2278517,136677.0,5127229.0,13.555,339,0,1.7336338,0.021031113,0.6667193,0.9999361,0.6250993,0.3748368,3.930262e-05,6.387568e-05,0.00016410895,-1.863e-09,-0.0,9.600322,6.001768,0.05700016,-0.010000229,0.04699993,0
598,2279027,136675.0,5127230.0,13.67,339,0,1.7342333,0.03973011,0.6685694,0.99956906,0.6246779,0.37489122,0.0002650934,0.00043091984,0.00027410503,-1.862e-09,1e-12,9.601795,6.0021663,0.08400059,-0.07700062,0.0069999695,0
602,2279028,136676.0,5127230.0,13.64,339,0,1.7340004,0.03428124,0.66786957,0.99972326,0.6250428,0.37468043,0.0001702523,0.0002767615,0.0002735687,1.863e-09,-0.0,9.600172,6.0031753,0.09300041,-0.07400036,0.019000053,0
603,2279029,136677.0,5127230.0,13.62,339,0,1.7334704,0.015881842,0.6664827,0.9999725,0.62504363,0.37492886,1.6925153e-05,2.7505042e-05,7.5332e-05,1.863e-09,0.0,9.600177,6.0007935,0.032999992,-0.023000717,0.009999275,0
604,2279030,136678.0,5127230.0,13.63,339,0,1.7333951,0.016349591,0.6664859,0.99997,0.6249702,0.3749998,1.8465602e-05,3.0007159e-05,1.7188919e-05,-1.16e-10,-0.0,9.600163,6.000104,0.020999908,-0.013999939,0.0069999695,0
599,2279539,136675.0,5127231.0,13.695,339,0,1.7334528,0.02009221,0.66663694,0.9999443,0.62491465,0.37502965,3.4272383e-05,5.5693516e-05,2.9157436e-05,-1.863e-09,-0.0,9.600508,6.000033,0.03600025,-0.017000198,0.019000053,0
605,2279540,136676.0,5127231.0,13.66,339,0,1.7339066,0.035369907,0.66792065,0.999696,0.62455153,0.3751445,0.00018703121,0.00030395552,0.00011701216,1.862e-09,0.0,9.602233,6.000008,0.08300018,-0.059999466,0.023000717,0
606,2279541,136677.0,5127231.0,13.64,339,0,1.7341276,0.02999453,0.6674311,0.9998146,0.6252614,0.37455323,0.00011401984,0.0001853543,0.00042652214,-1.16e-10,-0.0,9.600664,6.0047045,0.08599949,-0.07499981,0.01099968,0
607,2279542,136678.0,5127231.0,13.63,339,0,1.7341329,0.03311999,0.6677307,0.99975044,0.62504756,0.3747029,0.00015352645,0.0002495644,0.00036254208,-1.16e-10,-0.0,9.601198,6.0036016,0.09299946,-0.07999992,0.012999535,0
608,2280052,136676.0,5127232.0,13.72,339,0,1.7337239,0.034970097,0.6678903,0.9997062,0.6246712,0.375035,0.00018075065,0.00029376658,3.804325e-05,1.863e-09,0.0,9.600634,6.00006,0.07499981,-0.027999878,0.04699993,0
609,2280053,136677.0,5127232.0,13.67,339,0,1.733882,0.037268158,0.6681816,0.9996444,0.62456733,0.37507704,0.0002187978,0.00035560736,8.344326e-05,-1.863e-09,-0.0,9.601393,6.0001307,0.07999992,0.0,0.07999992,0
247,2495464,137215.0,5127214.0,11.91,242,10,1.7351247,0.05195423,0.67080694,0.9990356,0.6236007,0.37543485,0.0005933005,0.0009644275,0.0003593974,1.16e-10,0.0,9.606791,6.0000668,0.13799953,-0.083999634,0.0539999,0
248,2495465,137216.0,5127214.0,12.17,242,10,1.736766,0.048855558,0.66993296,0.9991985,0.622702,0.3764965,0.0004934444,0.0008015041,0.0012078204,1.16e-10,-0.0,9.623127,6.000054,0.20300007,-0.07199955,0.13100052,0
253,2495466,137217.0,5127214.0,12.13,242,10,1.7358572,0.03787115,0.66862816,0.99962664,0.626606,0.37302065,0.00022942228,0.00037335095,0.0015889722,1.863e-09,-1e-12,9.60008,6.0190516,0.15700054,-0.09800053,0.059000015,0
249,2495976,137215.0,5127215.0,11.79,242,10,1.7366304,0.05575272,0.6718215,0.99880755,0.6238409,0.37496662,0.0007332578,0.0011924428,0.0011741316,1.862e-09,-6e-12,9.611011,6.0072026,0.20100021,-0.112999916,0.0880003,0
250,2495977,137216.0,5127215.0,12.19,242,10,1.736094,0.044138785,0.6693598,0.9994089,0.62486523,0.37454364,0.00036352183,0.00059110374,0.0013122205,1.862e-09,-6e-12,9.609096,6.0100703,0.1600008,-0.06300068,0.09700012,0
254,2495978,137217.0,5127215.0,12.086,242,10,1.7361811,0.046566892,0.6699489,0.9993056,0.6255254,0.3737802,0.00042680974,0.0006943828,0.0014397055,-1.862e-09,5e-12,9.604459,6.0145025,0.17700005,-0.13100052,0.045999527,0
251,2496488,137215.0,5127216.0,12.086,242,10,1.7348166,0.042197037,0.6689974,0.99948364,0.6247914,0.37469223,0.0003176137,0.000516384,0.000594684,1.16e-10,-0.0,9.603344,6.0050454,0.1430006,-0.10400009,0.03900051,0
252,2496489,137216.0,5127216.0,11.98,242,10,1.7350584,0.040946074,0.6686395,0.99952835,0.6239674,0.37556094,0.00029027235,0.0004716667,0.0006008704,-1.16e-10,0.0,9.610083,6.0009108,0.13599968,-0.0880003,0.047999382,0
255,2496490,137217.0,5127216.0,12.15,242,10,1.7350143,0.042873576,0.668944,0.9994585,0.62381935,0.37563914,0.00033326374,0.000541521,0.0005179513,-1.16e-10,-0.0,9.609887,6.000037,0.14299965,-0.09700012,0.045999527,0
256,2497000,137215.0,5127217.0,12.266,242,10,1.7342331,0.031309623,0.66752064,0.9997892,0.6250031,0.37478605,0.0001296996,0.00021081696,0.00042877623,-1.16e-10,-0.0,9.602473,6.0036,0.09800053,-0.06700039,0.031000137,0
257,2497001,137216.0,5127217.0,12.26,242,10,1.7347673,0.028181003,0.6673166,0.9998463,0.62558067,0.3742656,9.454981e-05,0.00015372741,0.00086755375,1.16e-10,0.0,9.602694,6.0087357,0.12900066,-0.065000534,0.06400013,0
258,2497002,137217.0,5127217.0,12.24,242,10,1.7348385,0.034632295,0.6677897,0.9997147,0.62434614,0.37536857,0.0001755829,0.0002853076,0.00062426087,1.862e-09,3e-12,9.608829,6.001976,0.120999336,-0.059000015,0.06199932,0
575,3929346,141562.0,5128209.0,10.57,322,0,1.7346215,0.03411558,0.66795874,0.9997272,0.625662,0.37406513,0.0001677572,0.00027280804,0.00074737304,1.863e-09,0.0,9.6,6.0089746,0.10999966,-0.05099964,0.059000015,0
576,3929347,141563.0,5128209.0,10.516,322,0,1.7341486,0.040274758,0.66861665,0.9995511,0.62445563,0.3750955,0.00027617268,0.0004488782,0.00017647739,-1.862e-09,1e-12,9.6024275,6.0006,0.083999634,-0.0050001144,0.07899952,0
577,3929672,141561.0,5128210.0,10.625,322,0,1.7389827,0.05536825,0.67166126,0.9988322,0.623518,0.3753142,0.0007182632,0.0011677907,0.002477968,1.16e-10,1e-12,9.626232,6.0133705,0.2539997,-0.062999725,0.19099998,0
