Latitude;Longitude;Total;Classe;Date;source
45.831368;-73.441355;62;Commun;2017-10-08;DonnesOnQc2017
45.943569;-73.400959;2;Inexistant;2017-10-08;DonnesOnQc2017
45.805167;-73.434789;19;Commun;2017-10-08;DonnesOnQc2017
45.778313;-73.450884;30;Commun;2017-10-08;DonnesOnQc2017
45.735958;-73.480365;1;Inexistant;2017-10-08;DonnesOnQc2017
45.840218;-73.444917;254;Commun;2017-10-04;DonnesOnQc2017
45.833222;-73.42715;269;Commun;2017-08-11;DonnesOnQc2017
45.913212;-72.492638;10;Commun;2017-08-02;DonnesOnQc2017
45.712859;-73.441355;6;Rare;2022-09-16;DonnesOnQc2017
45.914852;-76.924493;12;Commun;2016-08-25;DonnesOnQc2017
45.877966;-76.929643;9;Rare;2016-08-24;DonnesOnQc2017
45.896487;-76.863467;111;Commun;2016-08-24;DonnesOnQc2017
45.635704;-73.475301;10;Commun;2016-08-19;DonnesOnQc2017
45.879042;-76.70438;1;Inexistant;2016-06-21;DonnesOnQc2017
45.890833;-72.488889;2;Inexistant;2015-07-18;DonnesOnQc2017
45.57776;-72.01577;1;Inexistant;2012-09-18;DonnesOnQc2017
45.58973;-73.49529;1;Inexistant;2012-09-13;DonnesOnQc2017
45.59058;-73.49472;1;Inexistant;2012-09-13;DonnesOnQc2017
45.58238;-73.4928;2;Inexistant;2012-09-13;DonnesOnQc2017
46.58616;-72.03774;7;Rare;2012-09-12;DonnesOnQc2017
45.72806;-76.60453;1;Inexistant;2012-08-16;DonnesOnQc2017
46.58771;-72.03214;112;Commun;2012-08-09;DonnesOnQc2017
46.58718;-72.03343;11;Commun;2012-08-09;DonnesOnQc2017
46.58772;-72.03178;12;Commun;2012-08-09;DonnesOnQc2017
46.58693;-72.03474;3;Inexistant;2012-08-09;DonnesOnQc2017
46.58718;-72.03343;56;Commun;2012-08-09;DonnesOnQc2017
46.58767;-72.03378;42;Commun;2012-08-09;DonnesOnQc2017
45.82709;-73.28744;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83476;-73.27906;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83601;-73.27783;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83589;-73.27755;2;Inexistant;2012-08-01;DonnesOnQc2017
45.83635;-73.27731;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83633;-73.27722;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83671;-73.27663;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83706;-73.27624;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83754;-73.27566;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83822;-73.27451;2;Inexistant;2012-08-01;DonnesOnQc2017
45.82734;-73.28738;1;Inexistant;2012-08-01;DonnesOnQc2017
45.82644;-73.28827;1;Inexistant;2012-08-01;DonnesOnQc2017
45.82572;-73.29002;1;Inexistant;2012-08-01;DonnesOnQc2017
45.8279;-73.28703;1;Inexistant;2012-08-01;DonnesOnQc2017
45.83445;-73.27954;1;Inexistant;2012-08-01;DonnesOnQc2017
45.81846;-73.30287;1;Inexistant;2012-07-31;DonnesOnQc2017
45.82119;-73.29881;2;Inexistant;2012-07-31;DonnesOnQc2017
45.82041;-73.30038;2;Inexistant;2012-07-31;DonnesOnQc2017
45.81928;-73.29988;1;Inexistant;2012-07-31;DonnesOnQc2017
45.81977;-73.30014;2;Inexistant;2012-07-31;DonnesOnQc2017
45.81932;-73.30049;1;Inexistant;2012-07-31;DonnesOnQc2017
45.81879;-73.30149;1;Inexistant;2012-07-31;DonnesOnQc2017
46.27823;-72.66123;1;Inexistant;2012-07-26;DonnesOnQc2017
46.58758;-72.03783;1;Inexistant;2012-07-26;DonnesOnQc2017
46.58651;-72.03747;10;Commun;2012-07-26;DonnesOnQc2017
46.58616;-72.03774;34;Commun;2012-07-26;DonnesOnQc2017
46.58693;-72.03459;19;Commun;2012-07-26;DonnesOnQc2017
46.58608;-72.03835;34;Commun;2012-07-26;DonnesOnQc2017
46.58749;-72.03583;4;Rare;2012-07-26;DonnesOnQc2017
46.27645;-72.65937;3;Inexistant;2012-07-26;DonnesOnQc2017
46.58693;-72.03459;122;Commun;2012-07-26;DonnesOnQc2017
46.27792;-72.67316;1;Inexistant;2012-07-23;DonnesOnQc2017
46.585981;-72.03965;6;Rare;2012-07-13;DonnesOnQc2017
46.586338;-72.038769;5;Rare;2012-07-13;DonnesOnQc2017
46.585621;-72.041859;5;Rare;2012-07-13;DonnesOnQc2017
46.586841;-72.038079;7;Rare;2011-09-12;DonnesOnQc2017
46.58626;-72.037603;4;Rare;2011-07-27;DonnesOnQc2017
46.586242;-72.041181;1;Inexistant;2011-07-27;DonnesOnQc2017
45.5881;-75.16494;1;Inexistant;2010-07-30;DonnesOnQc2017
46.078111;-73.173306;26;Commun;2010-05-06;DonnesOnQc2017
46.078111;-73.173306;46;Commun;2010-05-06;DonnesOnQc2017
45.817722;-72.295611;2;Inexistant;2009-09-12;DonnesOnQc2017
45.78363;-72.248;3;Inexistant;2009-09-10;DonnesOnQc2017
45.575944;-72.014944;3;Inexistant;2009-09-10;DonnesOnQc2017
46.20682;-83.02533;5;Rare;2009-09-07;DonnesOnQc2017
46.19983;-83.02632;5;Rare;2009-09-06;DonnesOnQc2017
46.27308;-83.22652;1;Inexistant;2009-09-05;DonnesOnQc2017
46.64726;-71.92616;2;Inexistant;2009-08-27;DonnesOnQc2017
46.58722;-72.03912;2;Inexistant;2009-08-14;DonnesOnQc2017
46.58775;-72.03728;1;Inexistant;2009-08-14;DonnesOnQc2017
46.58709;-72.03918;1;Inexistant;2009-08-14;DonnesOnQc2017
45.575944;-72.014944;3;Inexistant;2009-05-07;DonnesOnQc2017
45.575944;-72.014944;1;Inexistant;2009-05-06;DonnesOnQc2017
46.90636;-70.768698;1;Inexistant;2008-08-09;DonnesOnQc2017
45.78363;-72.248;1;Inexistant;2008-07-23;DonnesOnQc2017
46.58636;-72.0376;111;Commun;2007-09-19;DonnesOnQc2017
45.9052;-76.9301;2;Inexistant;2007-09-14;DonnesOnQc2017
46.93507;-70.73531;1;Inexistant;2007-09-10;DonnesOnQc2017
46.93626;-70.72497;1;Inexistant;2007-09-10;DonnesOnQc2017
46.58577;-72.04089;5;Rare;2007-09-07;DonnesOnQc2017
45.78342;-72.246905;2;Inexistant;2007-09-05;DonnesOnQc2017
45.78353;-72.24753;1;Inexistant;2007-09-05;DonnesOnQc2017
46.6473;-71.9257;7;Rare;2007-08-21;DonnesOnQc2017
45.581512;-73.479256;1;Inexistant;2007-08-13;DonnesOnQc2017
45.78363;-72.248;1;Inexistant;2007-08-08;DonnesOnQc2017
46.93626;-70.72497;1;Inexistant;2006-09-21;DonnesOnQc2017
46.53661;-72.37308;1;Inexistant;2006-09-18;DonnesOnQc2017
46.670617;-71.878967;2;Inexistant;2006-09-12;DonnesOnQc2017
46.67865;-71.883;1;Inexistant;2006-09-11;DonnesOnQc2017
46.66895;-71.83735;1;Inexistant;2006-09-10;DonnesOnQc2017
46.521722;-72.300222;7;Rare;2006-08-24;DonnesOnQc2017
45.5225;-76.1671;3;Inexistant;2005-10-20;DonnesOnQc2017
45.5185;-76.1667;2;Inexistant;2005-10-20;DonnesOnQc2017
45.5227;-76.1671;3;Inexistant;2005-10-11;DonnesOnQc2017
45.5225;-76.1671;4;Rare;2005-10-11;DonnesOnQc2017
46.521722;-72.300222;7;Rare;2005-08-10;DonnesOnQc2017
45.9052;-76.9301;1;Inexistant;2004-10-04;DonnesOnQc2017
45.9068;-76.9344;7;Rare;2004-10-04;DonnesOnQc2017
46.72865;-71.43253;8;Rare;2004-09-08;DonnesOnQc2017
46.746976;-71.343759;1;Inexistant;2004-08-04;DonnesOnQc2017
46.72965;-71.43092;2;Inexistant;2004-07-06;DonnesOnQc2017
45.908111;-73.221944;3;Inexistant;2004-01-01;DonnesOnQc2017
46.521817;-72.299517;1;Inexistant;2003-10-10;DonnesOnQc2017
45.66645;-72.15178;2;Inexistant;2003-08-26;DonnesOnQc2017
45.60908;-72.070733;2;Inexistant;2003-08-26;DonnesOnQc2017
46.521722;-72.300222;17;Commun;2002-09-25;DonnesOnQc2017
45.971888;-72.550805;24;Commun;2002-09-10;DonnesOnQc2017
45.732916;-76.603861;18;Commun;2002-08-21;DonnesOnQc2017
45.899;-76.920388;1;Inexistant;2002-08-20;DonnesOnQc2017
45.90675;-76.934277;5;Rare;2002-08-20;DonnesOnQc2017
43.02545;-78.89407;1;Inexistant;1905-06-24;DonnesOnQc2017
45.944222;-73.403222;1;Inexistant;2001-09-25;DonnesOnQc2017
45.5955;-73.46675;1;Inexistant;2001-09-14;DonnesOnQc2017
45.5955;-73.46675;1;Inexistant;2001-09-14;DonnesOnQc2017
46.628944;-71.731694;2;Inexistant;2001-09-10;DonnesOnQc2017
46.618666;-71.932583;1;Inexistant;2001-09-10;DonnesOnQc2017
46.618666;-71.932583;1;Inexistant;2001-09-10;DonnesOnQc2017
45.905;-76.929444;24;Commun;2001-08-18;DonnesOnQc2017
45.904166;-76.93;4;Rare;2001-08-18;DonnesOnQc2017
45.657222;-76.671944;0;Inexistant;2001-08-18;DonnesOnQc2017
45.85;-76.73;1;Inexistant;2001-08-18;DonnesOnQc2017
45.580555;-76.670833;1;Inexistant;2001-08-18;DonnesOnQc2017
43.06459;-78.97936;1;Inexistant;1905-06-23;DonnesOnQc2017
45.801666;-73.32;2;Inexistant;2000-08-31;DonnesOnQc2017
46.85;-71.142222;1;Inexistant;2000-08-09;DonnesOnQc2017
46.20222;-83.02679;1;Inexistant;2000-06-21;DonnesOnQc2017
47.58939;-79.48486;1;Inexistant;2000-05-01;DonnesOnQc2017
47.65235;-79.5967;1;Inexistant;2000-04-30;DonnesOnQc2017
