        id           X            Y       Z  Nbrs_Moules id_moules
    139698  138580.225  5126398.869   5.100            1       135
 107516042  252012.000  5188948.000   0.981            1       146
 107515573  252013.000  5188947.000   0.992            1       146
 107515574  252014.000  5188947.000   1.014            1       146
 107515575  252015.000  5188947.000   1.016            1       146
 107516043  252013.000  5188948.000   1.002            1       146
 107516044  252014.000  5188948.000   0.999            1       146
 107516045  252015.000  5188948.000   1.009            1       146
 107515576  252016.000  5188947.000   1.011            1       146
 107515577  252017.000  5188947.000   1.019            1       146
 107516046  252016.000  5188948.000   1.013            1       146
 107516047  252017.000  5188948.000   1.021            1       146
 107515578  252018.000  5188947.000   1.011            1       146
 107516048  252018.000  5188948.000   1.025            1       146
 107516049  252019.000  5188948.000   1.035            1       146
 107516511  252012.000  5188949.000   0.985            1       146
 107516978  252011.000  5188950.000   0.990            1       146
 107516979  252012.000  5188950.000   0.990            1       146
 107517447  252011.000  5188951.000   0.991            1       146
 107517448  252012.000  5188951.000   0.990            1       146
 107516512  252013.000  5188949.000   1.000            1       146
 107516513  252014.000  5188949.000   1.012            1       146
 107516514  252015.000  5188949.000   1.033            1       146
 107516980  252013.000  5188950.000   1.000            1       146
 107516981  252014.000  5188950.000   1.013            1       146
 107516982  252015.000  5188950.000   1.026            1       146
 107517449  252013.000  5188951.000   0.997            1       146
 107517450  252014.000  5188951.000   1.016            1       146
 107517451  252015.000  5188951.000   1.027            1       146
 107517917  252011.000  5188952.000   0.994            1       146
 107517918  252012.000  5188952.000   0.986            1       146
 107518387  252011.000  5188953.000   0.988            1       146
 107518388  252012.000  5188953.000   1.004            1       146
 107518861  252012.000  5188954.000   1.014            1       146
 107517919  252013.000  5188952.000   0.993            1       146
 107517920  252014.000  5188952.000   1.024            1       146
 107517921  252015.000  5188952.000   1.027            1       146
 107518389  252013.000  5188953.000   0.998            1       146
 107518390  252014.000  5188953.000   1.023            1       146
 107518391  252015.000  5188953.000   1.036            1       146
 107518862  252013.000  5188954.000   1.011            1       146
 107518863  252014.000  5188954.000   1.020            1       146
 107518864  252015.000  5188954.000   1.025            1       146
 107519339  252013.000  5188955.000   1.013            1       146
 107519340  252014.000  5188955.000   1.025            1       146
 107519341  252015.000  5188955.000   1.016            1       146
 107519821  252015.000  5188956.000   1.034            1       146
 107516515  252016.000  5188949.000   1.037            1       146
 107516516  252017.000  5188949.000   1.013            1       146
 107516983  252016.000  5188950.000   1.036            1       146
 107516984  252017.000  5188950.000   1.040            1       146
 107517452  252016.000  5188951.000   1.050            1       146
 107517453  252017.000  5188951.000   1.051            1       146
 107516517  252018.000  5188949.000   1.020            1       146
 107516518  252019.000  5188949.000   1.033            1       146
 107516985  252018.000  5188950.000   1.017            1       146
 107516986  252019.000  5188950.000   1.030            1       146
 107517454  252018.000  5188951.000   1.042            1       146
 107517455  252019.000  5188951.000   1.040            1       146
 107517922  252016.000  5188952.000   1.046            1       146
 107517923  252017.000  5188952.000   1.060            1       146
 107518392  252016.000  5188953.000   1.058            1       146
 107518393  252017.000  5188953.000   1.065            1       146
 107518865  252016.000  5188954.000   1.052            1       146
 107518866  252017.000  5188954.000   1.056            1       146
 107517924  252018.000  5188952.000   1.066            1       146
 107517925  252019.000  5188952.000   1.036            1       146
 107518394  252018.000  5188953.000   1.057            1       146
 107518395  252019.000  5188953.000   1.037            1       146
 107518867  252018.000  5188954.000   1.045            1       146
 107518868  252019.000  5188954.000   1.039            1       146
 107516519  252020.000  5188949.000   1.069            1       146
 107516987  252020.000  5188950.000   1.055            1       146
 107517456  252020.000  5188951.000   1.068            1       146
 107517926  252020.000  5188952.000   1.046            1       146
 107518396  252020.000  5188953.000   1.067            1       146
 107519342  252016.000  5188955.000   1.053            1       146
 107519343  252017.000  5188955.000   1.052            1       146
 107519822  252016.000  5188956.000   1.050            1       146
 107519344  252018.000  5188955.000   1.050            1       146
  92487028  245725.000  5178115.000   0.280           40       163
  92486989  245728.000  5178113.000   0.410           40       163
  92486990  245730.000  5178113.000   0.310           40       163
  92486991  245733.000  5178113.000   0.150           40       163
  92487029  245728.000  5178115.000   0.330           40       163
  92487030  245730.000  5178115.000   0.380           40       163
  92487031  245733.000  5178115.000   0.360           40       163
  92487069  245728.000  5178118.000   0.310           40       163
  92487070  245730.000  5178118.000   0.260           40       163
  92487071  245733.000  5178118.000   0.340           40       163
  92487107  245728.000  5178120.000   0.390           40       163
  92487108  245730.000  5178120.000   0.370           40       163
 104689100  251008.000  5187511.000  13.480            0       166
 104689101  251009.000  5187511.000  13.480            0       166
 104689611  251007.000  5187512.000  13.470            0       166
 104689612  251008.000  5187512.000  13.470            0       166
 104689613  251009.000  5187512.000  13.470            0       166
 104688591  251011.000  5187510.000  13.492            0       166
 104689102  251010.000  5187511.000  13.480            0       166
 104689103  251011.000  5187511.000  13.492            0       166
 104689614  251010.000  5187512.000  13.470            0       166
 104689615  251011.000  5187512.000  13.482            0       166
 104689104  251012.000  5187511.000  13.494            0       166
 104689105  251013.000  5187511.000  13.496            0       166
 104689616  251012.000  5187512.000  13.494            0       166
 104689617  251013.000  5187512.000  13.496            0       166
 104689618  251014.000  5187512.000  13.498            0       166
 104691146  251006.000  5187515.000  13.448            0       166
 104690123  251007.000  5187513.000  13.462            0       166
 104690124  251008.000  5187513.000  13.460            0       166
 104690125  251009.000  5187513.000  13.460            0       166
 104690635  251007.000  5187514.000  13.454            0       166
 104690636  251008.000  5187514.000  13.452            0       166
 104690637  251009.000  5187514.000  13.450            0       166
 104691147  251007.000  5187515.000  13.446            0       166
 104691148  251008.000  5187515.000  13.444            0       166
 104691149  251009.000  5187515.000  13.442            0       166
 104691659  251007.000  5187516.000  13.448            0       166
 104691660  251008.000  5187516.000  13.446            0       166
 104691661  251009.000  5187516.000  13.444            0       166
 104692171  251007.000  5187517.000  13.450            0       166
 104692172  251008.000  5187517.000  13.448            0       166
 104692173  251009.000  5187517.000  13.446            0       166
 104692683  251007.000  5187518.000  13.450            0       166
 104692684  251008.000  5187518.000  13.450            0       166
 104692685  251009.000  5187518.000  13.448            0       166
 104690126  251010.000  5187513.000  13.460            0       166
 104690127  251011.000  5187513.000  13.472            0       166
 104690638  251010.000  5187514.000  13.450            0       166
 104690639  251011.000  5187514.000  13.462            0       166
 104691150  251010.000  5187515.000  13.440            0       166
 104691151  251011.000  5187515.000  13.452            0       166
 104690128  251012.000  5187513.000  13.484            0       166
 104690129  251013.000  5187513.000  13.496            0       166
 104690640  251012.000  5187514.000  13.474            0       166
 104690641  251013.000  5187514.000  13.486            0       166
 104691152  251012.000  5187515.000  13.464            0       166
 104691153  251013.000  5187515.000  13.476            0       166
 104691662  251010.000  5187516.000  13.442            0       166
 104691663  251011.000  5187516.000  13.464            0       166
 104692174  251010.000  5187517.000  13.444            0       166
 104692175  251011.000  5187517.000  13.466            0       166
 104692686  251010.000  5187518.000  13.446            0       166
 104692687  251011.000  5187518.000  13.468            0       166
 104691664  251012.000  5187516.000  13.476            0       166
 104691665  251013.000  5187516.000  13.488            0       166
 104692176  251012.000  5187517.000  13.488            0       166
 104692177  251013.000  5187517.000  13.500            0       166
 104692688  251012.000  5187518.000  13.490            0       166
 104692689  251013.000  5187518.000  13.512            0       166
 104693196  251008.000  5187519.000  13.450            0       166
 104693197  251009.000  5187519.000  13.450            0       166
 104693198  251010.000  5187519.000  13.448            0       166
 104693199  251011.000  5187519.000  13.470            0       166
 104693200  251012.000  5187519.000  13.492            0       166
 104693201  251013.000  5187519.000  13.514            0       166
 104690130  251014.000  5187513.000  13.498            0       166
 104690131  251015.000  5187513.000  13.500            0       166
 104690642  251014.000  5187514.000  13.498            0       166
 104690643  251015.000  5187514.000  13.500            0       166
 104691154  251014.000  5187515.000  13.488            0       166
 104691155  251015.000  5187515.000  13.500            0       166
 104691666  251014.000  5187516.000  13.500            0       166
 104691667  251015.000  5187516.000  13.512            0       166
 104692178  251014.000  5187517.000  13.512            0       166
 104692179  251015.000  5187517.000  13.524            0       166
 104692690  251014.000  5187518.000  13.524            0       166
   4424786  141337.000  5128546.000  13.725            0       174
   4425297  141336.000  5128547.000  13.677            0       174
   4425298  141337.000  5128547.000  13.725            0       174
   4425809  141336.000  5128548.000  13.664            0       174
   4425810  141337.000  5128548.000  13.704            0       174
   4426321  141336.000  5128549.000  13.664            0       174
   4426322  141337.000  5128549.000  13.704            0       174
   4426833  141336.000  5128550.000  13.664            0       174
   4426834  141337.000  5128550.000  13.704            0       174
   4424276  141339.000  5128545.000  13.816            0       174
   4424787  141338.000  5128546.000  13.725            0       174
   4424788  141339.000  5128546.000  13.816            0       174
   4425299  141338.000  5128547.000  13.725            0       174
   4425300  141339.000  5128547.000  13.816            0       174
   4424277  141340.000  5128545.000  13.816            0       174
   4424278  141341.000  5128545.000  13.799            0       174
   4424789  141340.000  5128546.000  13.816            0       174
   4424790  141341.000  5128546.000  13.799            0       174
   4424791  141342.000  5128546.000  13.799            0       174
   4425301  141340.000  5128547.000  13.816            0       174
   4425302  141341.000  5128547.000  13.799            0       174
   4425303  141342.000  5128547.000  13.799            0       174
   4425811  141338.000  5128548.000  13.704            0       174
   4425812  141339.000  5128548.000  13.708            0       174
   4426323  141338.000  5128549.000  13.704            0       174
   4426324  141339.000  5128549.000  13.708            0       174
   4426835  141338.000  5128550.000  13.704            0       174
   4426836  141339.000  5128550.000  13.585            0       174
   4425813  141340.000  5128548.000  13.708            0       174
   4425814  141341.000  5128548.000  13.708            0       174
   4425815  141342.000  5128548.000  13.790            0       174
   4426325  141340.000  5128549.000  13.708            0       174
   4426326  141341.000  5128549.000  13.708            0       174
   4426327  141342.000  5128549.000  13.790            0       174
   4426837  141340.000  5128550.000  13.585            0       174
   4426838  141341.000  5128550.000  13.585            0       174
   4426839  141342.000  5128550.000  13.728            0       174
   4427345  141336.000  5128551.000  13.606            0       174
   4427346  141337.000  5128551.000  13.658            0       174
   4427857  141336.000  5128552.000  13.606            0       174
   4427858  141337.000  5128552.000  13.658            0       174
   4428370  141337.000  5128553.000  13.510            0       174
   4427347  141338.000  5128551.000  13.658            0       174
   4427348  141339.000  5128551.000  13.585            0       174
   4427859  141338.000  5128552.000  13.658            0       174
   4427860  141339.000  5128552.000  13.585            0       174
   4428371  141338.000  5128553.000  13.510            0       174
   4428372  141339.000  5128553.000  13.630            0       174
   4427349  141340.000  5128551.000  13.585            0       174
   4427350  141341.000  5128551.000  13.585            0       174
   4427351  141342.000  5128551.000  13.728            0       174
   4427861  141340.000  5128552.000  13.585            0       174
   4427862  141341.000  5128552.000  13.585            0       174
   4427863  141342.000  5128552.000  13.728            0       174
   4428373  141340.000  5128553.000  13.630            0       174
   4428374  141341.000  5128553.000  13.630            0       174
   4428375  141342.000  5128553.000  13.694            0       174
   4428883  141338.000  5128554.000  13.510            0       174
   4428884  141339.000  5128554.000  13.630            0       174
   4428885  141340.000  5128554.000  13.630            0       174
   4428886  141341.000  5128554.000  13.630            0       174
   4428887  141342.000  5128554.000  13.694            0       174
   4424792  141343.000  5128546.000  13.799            0       174
   4425304  141343.000  5128547.000  13.799            0       174
