Y;X;Total
5081002.10698218;76313.5357395031;62
5093446.46530029;79877.9420346096;2
5078095.50272591;76673.4245041715;19
5075140.77768899;75318.956943257;30
5070556.97665494;72889.7851416404;1
5082013.7612086;76039.6932062376;254
5081184.38616165;77409.3206817345;269
5087839.11763988;150190.276285222;10
5067888.55083207;75830.7566592138;6
5106237.40211559;-193501.944991976;12
5102163.79740611;-194300.010358749;9
5103745.39398974;-188939.988918917;111
5059429.41497679;72865.613138321;10
5100880.98582812;-176751.337188823;1
5085386.37068017;150439.597544534;2
5049795.03489359;186488.075387182;1
5054375.57537586;71115.2760274088;1
5054486.70475231;71119.4297392174;1
5053480.710614;71238.1185181468;2
5161857.03591262;186937.801388752;7
5083507.41823866;-170354.68320452;1
5162070.3854151;187401.912837843;112
5161960.72501705;187323.122871893;11
5162070.3854151;187401.912837843;12
5161963.70627302;187169.861314355;3
5162073.36472212;187248.654095001;42
5080128.23206775;88261.9880820458;1
5080995.6245801;88914.4941752845;1
5081104.05317586;88996.0449619965;1
5081104.05317586;88996.0449619965;2
5081101.34957727;89073.7262366087;1
5081101.34957727;89073.7262366087;1
5081212.48276563;89077.593030654;1
5081209.78014397;89155.27291413;1
5081320.91334941;89159.1383811936;1
5081318.21170467;89236.8168735096;2
5080128.23206775;88261.9880820458;1
5080019.8124944;88180.4125256118;1
5080025.24215934;88025.0221593656;1
5080239.36502625;88265.8685188478;1
5080887.19697834;88832.9406705866;1
5079171.56732615;86983.7660981069;1
5079494.05955712;87306.281172473;2
5079385.65181482;87224.6809650962;2
5079274.51900697;87220.7829522741;1
5079385.65181482;87224.6809650962;2
5079274.51900697;87220.7829522741;1
5079277.24506708;87143.0780405465;1
5128744.30356641;138260.482916588;1
5162079.33500273;186942.136632623;1
5161966.69141787;187016.59976458;10
5161963.70627302;187169.861314355;19
5161857.03591262;186937.801388752;34
5161965.19835934;187093.230538496;4
5128517.81829674;138408.555369354;3
5128769.59319301;137335.711571032;1
5161860.02689531;186784.537032099;6
5161858.53091785;186861.169209453;5
5161863.0217669;186631.272683232;5
5161968.18544861;186939.968992608;7
5161857.03591262;186937.801388752;4
5161861.52384499;186707.904856693;1
5060385.24949601;-59194.3533767062;1
5107720.24809173;98055.1395030707;26
5076918.11431838;165235.016568387;2
5073056.78365948;168882.323210043;3
5049571.29890075;186561.918823972;3
5195411.72518201;-661336.632712199;5
5194647.06165697;-661538.31640661;5
5205254.7544577;-675708.947324967;1
5168475.92304906;195643.277294998;2
5161969.68045158;186863.338222581;2
5162077.84097425;187018.765995302;1
5161969.68045158;186863.338222581;1
5196312.51602263;284306.911616992;1
5161857.03591262;186937.801388752;111
5105163.90603095;-194057.235896118;2
5199527.78415927;286906.738377698;1
5199636.71017153;287668.461776052;1
5161861.52384499;186707.904856693;5
5072943.94893904;168957.649065456;2
5073056.78365948;168882.323210043;1
5168475.92304906;195643.277294998;7
5053440.00727798;72330.6040979013;1
5156965.99202929;161136.853074796;1
5171079.51182406;199287.662811224;2
5171974.09070427;198997.228912865;1
5170801.80062719;202497.422285901;1
5155168.48834749;166697.970118501;7
5058100.28612021;-137891.744255744;3
5057766.9249975;-137915.348240072;2
5058211.4064954;-137883.875991258;3
5105411.25899415;-194349.524133929;7
5177025.50149883;233488.871458541;8
5178949.46125016;240312.731065744;1
5177134.84437931;233643.04927828;2
5088955.79080339;93619.2577855433;3
5155168.48834749;166697.970118501;1
5059784.2300181;176076.019434118;2
5053322.69619626;182263.288017384;2
5094510.28656467;145859.659272763;24
5084057.05015719;-170234.31333101;18
5104434.47668135;-193335.392321901;1
5105411.25899415;-194349.524133929;5
4799349.26486339;-379474.53026581;1
5093452.11459284;79722.8813766566;1
