id_mbes;X;Y;Z;Nbrs_Moules;Classe;id_moules
139698;138580.225;5126398.869;5.100;1;Inexistant;135
107516513;252014.000;5188949.000;1.012;1;Inexistant;146
107516514;252015.000;5188949.000;1.033;1;Inexistant;146
107516980;252013.000;5188950.000;1.000;1;Inexistant;146
107516981;252014.000;5188950.000;1.013;1;Inexistant;146
107516982;252015.000;5188950.000;1.026;1;Inexistant;146
107517449;252013.000;5188951.000;0.997;1;Inexistant;146
107517450;252014.000;5188951.000;1.016;1;Inexistant;146
107517451;252015.000;5188951.000;1.027;1;Inexistant;146
107517919;252013.000;5188952.000;0.993;1;Inexistant;146
107517920;252014.000;5188952.000;1.024;1;Inexistant;146
107517921;252015.000;5188952.000;1.027;1;Inexistant;146
107518390;252014.000;5188953.000;1.023;1;Inexistant;146
107518391;252015.000;5188953.000;1.036;1;Inexistant;146
107518864;252015.000;5188954.000;1.025;1;Inexistant;146
107516515;252016.000;5188949.000;1.037;1;Inexistant;146
107516516;252017.000;5188949.000;1.013;1;Inexistant;146
107516983;252016.000;5188950.000;1.036;1;Inexistant;146
107516984;252017.000;5188950.000;1.040;1;Inexistant;146
107517452;252016.000;5188951.000;1.050;1;Inexistant;146
107517453;252017.000;5188951.000;1.051;1;Inexistant;146
107516985;252018.000;5188950.000;1.017;1;Inexistant;146
107517454;252018.000;5188951.000;1.042;1;Inexistant;146
107517922;252016.000;5188952.000;1.046;1;Inexistant;146
107517923;252017.000;5188952.000;1.060;1;Inexistant;146
107518392;252016.000;5188953.000;1.058;1;Inexistant;146
107518393;252017.000;5188953.000;1.065;1;Inexistant;146
107518865;252016.000;5188954.000;1.052;1;Inexistant;146
107517924;252018.000;5188952.000;1.066;1;Inexistant;146
92486990;245730.000;5178113.000;0.310;40;Commun;163
92487029;245728.000;5178115.000;0.330;40;Commun;163
92487030;245730.000;5178115.000;0.380;40;Commun;163
92487070;245730.000;5178118.000;0.260;40;Commun;163
104689615;251011.000;5187512.000;13.482;0;Inexistant;166
104690125;251009.000;5187513.000;13.460;0;Inexistant;166
104690637;251009.000;5187514.000;13.450;0;Inexistant;166
104691148;251008.000;5187515.000;13.444;0;Inexistant;166
104691149;251009.000;5187515.000;13.442;0;Inexistant;166
104691661;251009.000;5187516.000;13.444;0;Inexistant;166
104692173;251009.000;5187517.000;13.446;0;Inexistant;166
104690126;251010.000;5187513.000;13.460;0;Inexistant;166
104690127;251011.000;5187513.000;13.472;0;Inexistant;166
104690638;251010.000;5187514.000;13.450;0;Inexistant;166
104690639;251011.000;5187514.000;13.462;0;Inexistant;166
104691150;251010.000;5187515.000;13.440;0;Inexistant;166
104691151;251011.000;5187515.000;13.452;0;Inexistant;166
104690128;251012.000;5187513.000;13.484;0;Inexistant;166
104690129;251013.000;5187513.000;13.496;0;Inexistant;166
104690640;251012.000;5187514.000;13.474;0;Inexistant;166
104690641;251013.000;5187514.000;13.486;0;Inexistant;166
104691152;251012.000;5187515.000;13.464;0;Inexistant;166
104691153;251013.000;5187515.000;13.476;0;Inexistant;166
104691662;251010.000;5187516.000;13.442;0;Inexistant;166
104691663;251011.000;5187516.000;13.464;0;Inexistant;166
104692174;251010.000;5187517.000;13.444;0;Inexistant;166
104692175;251011.000;5187517.000;13.466;0;Inexistant;166
104691664;251012.000;5187516.000;13.476;0;Inexistant;166
104691665;251013.000;5187516.000;13.488;0;Inexistant;166
104692176;251012.000;5187517.000;13.488;0;Inexistant;166
104692177;251013.000;5187517.000;13.500;0;Inexistant;166
4425301;141340.000;5128547.000;13.816;0;Inexistant;174
4425811;141338.000;5128548.000;13.704;0;Inexistant;174
4425812;141339.000;5128548.000;13.708;0;Inexistant;174
4426323;141338.000;5128549.000;13.704;0;Inexistant;174
4426324;141339.000;5128549.000;13.708;0;Inexistant;174
4426835;141338.000;5128550.000;13.704;0;Inexistant;174
4426836;141339.000;5128550.000;13.585;0;Inexistant;174
4425813;141340.000;5128548.000;13.708;0;Inexistant;174
4425814;141341.000;5128548.000;13.708;0;Inexistant;174
4425815;141342.000;5128548.000;13.790;0;Inexistant;174
4426325;141340.000;5128549.000;13.708;0;Inexistant;174
4426326;141341.000;5128549.000;13.708;0;Inexistant;174
4426327;141342.000;5128549.000;13.790;0;Inexistant;174
4426837;141340.000;5128550.000;13.585;0;Inexistant;174
4426838;141341.000;5128550.000;13.585;0;Inexistant;174
4426839;141342.000;5128550.000;13.728;0;Inexistant;174
4427347;141338.000;5128551.000;13.658;0;Inexistant;174
4427348;141339.000;5128551.000;13.585;0;Inexistant;174
4427859;141338.000;5128552.000;13.658;0;Inexistant;174
4427860;141339.000;5128552.000;13.585;0;Inexistant;174
4427349;141340.000;5128551.000;13.585;0;Inexistant;174
4427350;141341.000;5128551.000;13.585;0;Inexistant;174
4427351;141342.000;5128551.000;13.728;0;Inexistant;174
4427861;141340.000;5128552.000;13.585;0;Inexistant;174
4427862;141341.000;5128552.000;13.585;0;Inexistant;174
4427863;141342.000;5128552.000;13.728;0;Inexistant;174
4426840;141343.000;5128550.000;13.728;0;Inexistant;174
104796261;251088.000;5187734.000;12.819;1;Inexistant;175
104796583;251087.000;5187735.000;12.892;1;Inexistant;175
104796584;251088.000;5187735.000;12.857;1;Inexistant;175
104796904;251087.000;5187736.000;12.952;1;Inexistant;175
104796905;251088.000;5187736.000;12.913;1;Inexistant;175
104797225;251087.000;5187737.000;13.001;1;Inexistant;175
104797226;251087.840;5187736.780;12.960;1;Inexistant;175
104796262;251089.000;5187734.000;12.784;1;Inexistant;175
104796263;251090.000;5187734.000;12.710;1;Inexistant;175
104796585;251088.900;5187735.080;12.830;1;Inexistant;175
104796586;251090.000;5187735.000;12.778;1;Inexistant;175
104796906;251089.000;5187736.000;12.880;1;Inexistant;175
104796907;251090.000;5187736.000;12.844;1;Inexistant;175
104797227;251089.000;5187737.000;12.938;1;Inexistant;175
104797228;251090.000;5187737.000;12.904;1;Inexistant;175
104796587;251091.000;5187735.000;12.750;1;Inexistant;175
104796908;251090.600;5187736.130;12.830;1;Inexistant;175
104796909;251092.000;5187736.000;12.786;1;Inexistant;175
104797229;251091.000;5187737.000;12.867;1;Inexistant;175
104797544;251088.000;5187738.000;13.012;1;Inexistant;175
104797861;251088.000;5187739.000;13.057;1;Inexistant;175
104797545;251089.000;5187738.000;12.990;1;Inexistant;175
104797546;251089.540;5187737.830;12.970;1;Inexistant;175
104797547;251091.000;5187738.000;12.919;1;Inexistant;175
104797862;251089.000;5187739.000;13.038;1;Inexistant;175
104797863;251090.000;5187739.000;13.025;1;Inexistant;175
104798177;251088.480;5187739.530;13.070;1;Inexistant;175
111441122;252018.000;5189394.000;0.232;1;Inexistant;177
111441633;252017.000;5189395.000;0.233;1;Inexistant;177
111441634;252018.000;5189395.000;0.245;1;Inexistant;177
111442145;252017.000;5189396.000;0.252;1;Inexistant;177
111442146;252018.000;5189396.000;0.246;1;Inexistant;177
111442657;252017.000;5189397.000;0.260;1;Inexistant;177
111442658;252018.000;5189397.000;0.279;1;Inexistant;177
111440611;252019.000;5189393.000;0.210;1;Inexistant;177
111440612;252020.000;5189393.000;0.204;1;Inexistant;177
111441123;252019.000;5189394.000;0.240;1;Inexistant;177
111441124;252020.000;5189394.000;0.201;1;Inexistant;177
111441125;252021.000;5189394.000;0.241;1;Inexistant;177
111441635;252019.000;5189395.000;0.247;1;Inexistant;177
111441636;252020.000;5189395.000;0.229;1;Inexistant;177
111441637;252021.000;5189395.000;0.246;1;Inexistant;177
111442147;252019.000;5189396.000;0.265;1;Inexistant;177
111442148;252020.000;5189396.000;0.250;1;Inexistant;177
111442149;252021.000;5189396.000;0.266;1;Inexistant;177
111442659;252019.000;5189397.000;0.272;1;Inexistant;177
111442660;252020.000;5189397.000;0.290;1;Inexistant;177
111442661;252021.000;5189397.000;0.287;1;Inexistant;177
111441638;252022.000;5189395.000;0.261;1;Inexistant;177
111442150;252022.000;5189396.000;0.270;1;Inexistant;177
111442662;252022.000;5189397.000;0.275;1;Inexistant;177
111443170;252018.000;5189398.000;0.277;1;Inexistant;177
111443171;252019.000;5189398.000;0.223;1;Inexistant;177
111443172;252020.000;5189398.000;0.234;1;Inexistant;177
111443173;252021.000;5189398.000;0.312;1;Inexistant;177
157991217;281188.810;5197992.920;11.933;0;Inexistant;178
219013969;282152.214;5210102.672;3.833;1;Inexistant;181
